# -*- coding: utf-8 -*-

# A datafile created by Gustav!
# 
# Experiment: mild-2
# 
# Vocoded speech in spatially-separated speech or noise maskers.
# 
# $comments
# 

S,Trial,Date,Block,Condition,masker,Soundfile,Times
505,62,2024-02-14,62,11,side=r_masker=speech_itd=0_ild=0_az=20_mag=1_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=20_mag=1_control=0/3_side=r_masker=speech_itd=0_ild=0_az=20_mag=1_control=0.wav,
505,63,2024-02-14,63,18,side=r_masker=speech_itd=50_ild=0_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=50_ild=0_az=0_mag=0_control=0/3_side=r_masker=speech_itd=50_ild=0_az=0_mag=0_control=0.wav,
505,64,2024-02-14,64,7,side=l_masker=speech_itd=0_ild=0_az=10_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=10_mag=0_control=0/3_side=l_masker=speech_itd=0_ild=0_az=10_mag=0_control=0.wav,
505,65,2024-02-14,65,2,side=r_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0/3_side=r_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0.wav,
505,66,2024-02-14,66,16,side=l_masker=speech_itd=50_ild=0_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=50_ild=0_az=0_mag=0_control=0/3_side=l_masker=speech_itd=50_ild=0_az=0_mag=0_control=0.wav,
505,67,2024-02-14,67,5,side=l_masker=speech_itd=0_ild=0_az=30_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=30_mag=0_control=0/3_side=l_masker=speech_itd=0_ild=0_az=30_mag=0_control=0.wav,
505,68,2024-02-14,68,12,side=r_masker=speech_itd=0_ild=0_az=30_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=30_mag=0_control=0/3_side=r_masker=speech_itd=0_ild=0_az=30_mag=0_control=0.wav,
505,69,2024-02-14,69,10,side=l_masker=speech_itd=500_ild=0_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=500_ild=0_az=0_mag=0_control=0/3_side=l_masker=speech_itd=500_ild=0_az=0_mag=0_control=0.wav,
505,70,2024-02-14,70,6,side=r_masker=speech_itd=0_ild=0_az=30_mag=1_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=30_mag=1_control=0/3_side=r_masker=speech_itd=0_ild=0_az=30_mag=1_control=0.wav,
505,71,2024-02-14,71,1,side=l_masker=speech_itd=0_ild=0_az=20_mag=1_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=20_mag=1_control=0/3_side=l_masker=speech_itd=0_ild=0_az=20_mag=1_control=0.wav,
